label,mean_predicted_probability,fraction_positives
hybrid_minimal_c0.2_raw,0.34444430120145597,0.5333333333333333
hybrid_minimal_c0.2_raw,0.4575307249597062,0.5238095238095238
hybrid_minimal_c0.2_raw,0.5424692750402828,0.47619047619047616
hybrid_minimal_c0.2_raw,0.6555556987985337,0.4666666666666667
hybrid_minimal_c0.2_raw,0.749935152637994,0.8461538461538461
hybrid_minimal_c0.2_raw,0.8483116126357236,0.8571428571428571
hybrid_minimal_c0.2_raw,0.94356527219241,0.8181818181818182
hybrid_minimal_c0.2_temperature_scaled,0.06343398092363052,1.0
hybrid_minimal_c0.2_temperature_scaled,0.12823766845555845,0.0
hybrid_minimal_c0.2_temperature_scaled,0.24481929605154706,0.16666666666666666
hybrid_minimal_c0.2_temperature_scaled,0.3617396016997498,0.3157894736842105
hybrid_minimal_c0.2_temperature_scaled,0.4588938291852905,0.5
hybrid_minimal_c0.2_temperature_scaled,0.5411061708147032,0.5
hybrid_minimal_c0.2_temperature_scaled,0.6382603983002436,0.6842105263157895
hybrid_minimal_c0.2_temperature_scaled,0.7551807039484485,0.8333333333333334
hybrid_minimal_c0.2_temperature_scaled,0.8717623315444385,1.0
hybrid_minimal_c0.2_temperature_scaled,0.9365660190763683,0.0
hybrid_minimal_c0.2_raw,0.05648519887192637,0.08333333333333333
hybrid_minimal_c0.2_raw,0.16119635974419624,0.14285714285714285
hybrid_minimal_c0.2_raw,0.24287738557963295,0.3125
hybrid_minimal_c0.2_raw,0.34578733998904193,0.42857142857142855
hybrid_minimal_c0.2_raw,0.43985699874883954,0.3888888888888889
hybrid_minimal_c0.2_raw,0.5601430012511606,0.6111111111111112
hybrid_minimal_c0.2_raw,0.654212660010958,0.5714285714285714
hybrid_minimal_c0.2_raw,0.757122614420367,0.6875
hybrid_minimal_c0.2_raw,0.8388036402558037,0.8571428571428571
hybrid_minimal_c0.2_raw,0.9435148011280737,0.9166666666666666
hybrid_minimal_c0.2_temperature_scaled,0.05956289152050483,0.0
hybrid_minimal_c0.2_temperature_scaled,0.1495460424998755,0.1111111111111111
hybrid_minimal_c0.2_temperature_scaled,0.2653871674202467,0.2727272727272727
hybrid_minimal_c0.2_temperature_scaled,0.3444384427911581,0.3157894736842105
hybrid_minimal_c0.2_temperature_scaled,0.4473966396127288,0.4
hybrid_minimal_c0.2_temperature_scaled,0.5526033603872714,0.6
hybrid_minimal_c0.2_temperature_scaled,0.6555615572088418,0.6842105263157895
hybrid_minimal_c0.2_temperature_scaled,0.7346128325797533,0.7272727272727273
hybrid_minimal_c0.2_temperature_scaled,0.8504539575001245,0.8888888888888888
hybrid_minimal_c0.2_temperature_scaled,0.9404371084794952,1.0
hybrid_minimal_c0.2_raw,0.049369268874592004,0.0
hybrid_minimal_c0.2_raw,0.14217114654931326,0.0
hybrid_minimal_c0.2_raw,0.25142778579426145,0.15384615384615385
hybrid_minimal_c0.2_raw,0.35451784822657895,0.17647058823529413
hybrid_minimal_c0.2_raw,0.43428309805082305,0.391304347826087
hybrid_minimal_c0.2_raw,0.5657169019491696,0.6086956521739131
hybrid_minimal_c0.2_raw,0.6454821517734144,0.8235294117647058
hybrid_minimal_c0.2_raw,0.7485722142057326,0.8461538461538461
hybrid_minimal_c0.2_raw,0.8578288534506834,1.0
hybrid_minimal_c0.2_raw,0.9506307311254069,1.0
hybrid_minimal_c0.2_temperature_scaled,0.0521050610941028,0.0
hybrid_minimal_c0.2_temperature_scaled,0.12868043036064636,0.0
hybrid_minimal_c0.2_temperature_scaled,0.25305860312372397,0.0
hybrid_minimal_c0.2_temperature_scaled,0.3568813320366739,0.2
hybrid_minimal_c0.2_temperature_scaled,0.4440402455646148,0.37037037037037035
hybrid_minimal_c0.2_temperature_scaled,0.5559597544353791,0.6296296296296297
hybrid_minimal_c0.2_temperature_scaled,0.6431186679633212,0.8
hybrid_minimal_c0.2_temperature_scaled,0.7469413968762717,1.0
hybrid_minimal_c0.2_temperature_scaled,0.8713195696393514,1.0
hybrid_minimal_c0.2_temperature_scaled,0.9478949389058962,1.0
hybrid_minimal_c0.5_raw,0.0564189443004129,0.18181818181818182
hybrid_minimal_c0.5_raw,0.15166386609135513,0.14285714285714285
hybrid_minimal_c0.5_raw,0.2500454836060516,0.15384615384615385
hybrid_minimal_c0.5_raw,0.34443600915509687,0.5333333333333333
hybrid_minimal_c0.5_raw,0.4575193028388524,0.5238095238095238
hybrid_minimal_c0.5_raw,0.542480697161149,0.47619047619047616
hybrid_minimal_c0.5_raw,0.6555639908449045,0.4666666666666667
hybrid_minimal_c0.5_raw,0.7499545163939495,0.8461538461538461
hybrid_minimal_c0.5_raw,0.8483361339086455,0.8571428571428571
hybrid_minimal_c0.5_raw,0.9435810556995873,0.8181818181818182
hybrid_minimal_c0.5_temperature_scaled,0.06340529734083658,1.0
hybrid_minimal_c0.5_temperature_scaled,0.12820832403344448,0.0
hybrid_minimal_c0.5_temperature_scaled,0.2447973749277839,0.16666666666666666
hybrid_minimal_c0.5_temperature_scaled,0.3617245165770822,0.3157894736842105
hybrid_minimal_c0.5_temperature_scaled,0.4588901038691493,0.5
hybrid_minimal_c0.5_temperature_scaled,0.5411098961308516,0.5
hybrid_minimal_c0.5_temperature_scaled,0.6382754834229185,0.6842105263157895
hybrid_minimal_c0.5_temperature_scaled,0.7552026250722165,0.8333333333333334
hybrid_minimal_c0.5_temperature_scaled,0.8717916759665558,1.0
hybrid_minimal_c0.5_temperature_scaled,0.9365947026591636,0.0
hybrid_minimal_c0.5_raw,0.05647076315493321,0.08333333333333333
hybrid_minimal_c0.5_raw,0.16118038435962845,0.14285714285714285
hybrid_minimal_c0.5_raw,0.2428580960930285,0.3125
hybrid_minimal_c0.5_raw,0.3457979173978263,0.42857142857142855
hybrid_minimal_c0.5_raw,0.4398671497600933,0.3888888888888889
hybrid_minimal_c0.5_raw,0.560132850239905,0.6111111111111112
hybrid_minimal_c0.5_raw,0.6542020826021723,0.5714285714285714
hybrid_minimal_c0.5_raw,0.7571419039069702,0.6875
hybrid_minimal_c0.5_raw,0.8388196156403707,0.8571428571428571
hybrid_minimal_c0.5_raw,0.9435292368450666,0.9166666666666666
hybrid_minimal_c0.5_temperature_scaled,0.05954026559403041,0.0
hybrid_minimal_c0.5_temperature_scaled,0.14952421688078474,0.1111111111111111
hybrid_minimal_c0.5_temperature_scaled,0.2653718410529345,0.2727272727272727
hybrid_minimal_c0.5_temperature_scaled,0.3444291720067283,0.3157894736842105
hybrid_minimal_c0.5_temperature_scaled,0.4474056237042492,0.4
hybrid_minimal_c0.5_temperature_scaled,0.5525943762957497,0.6
hybrid_minimal_c0.5_temperature_scaled,0.6555708279932704,0.6842105263157895
hybrid_minimal_c0.5_temperature_scaled,0.7346281589470649,0.7272727272727273
hybrid_minimal_c0.5_temperature_scaled,0.8504757831192147,0.8888888888888888
hybrid_minimal_c0.5_temperature_scaled,0.9404597344059694,1.0
hybrid_minimal_c0.5_raw,0.04935553591208969,0.0
hybrid_minimal_c0.5_raw,0.14215226284331625,0.0
hybrid_minimal_c0.5_raw,0.2514170559133213,0.15384615384615385
hybrid_minimal_c0.5_raw,0.3545222178910035,0.17647058823529413
hybrid_minimal_c0.5_raw,0.4342850764594885,0.391304347826087
hybrid_minimal_c0.5_raw,0.5657149235404981,0.6086956521739131
hybrid_minimal_c0.5_raw,0.6454777821089847,0.8235294117647058
hybrid_minimal_c0.5_raw,0.7485829440866681,0.8461538461538461
hybrid_minimal_c0.5_raw,0.8578477371566773,1.0
hybrid_minimal_c0.5_raw,0.9506444640879084,1.0
hybrid_minimal_c0.5_temperature_scaled,0.05208702182365636,0.0
hybrid_minimal_c0.5_temperature_scaled,0.12866049359365642,0.0
hybrid_minimal_c0.5_temperature_scaled,0.25304818122361933,0.0
hybrid_minimal_c0.5_temperature_scaled,0.3568796746611883,0.2
hybrid_minimal_c0.5_temperature_scaled,0.4440414624785563,0.37037037037037035
hybrid_minimal_c0.5_temperature_scaled,0.5559585375214332,0.6296296296296297
hybrid_minimal_c0.5_temperature_scaled,0.6431203253388029,0.8
hybrid_minimal_c0.5_temperature_scaled,0.7469518187763728,1.0
hybrid_minimal_c0.5_temperature_scaled,0.8713395064063398,1.0
hybrid_minimal_c0.5_temperature_scaled,0.9479129781763418,1.0
hybrid_minimal_c1.0_raw,0.05641368242806195,0.18181818181818182
hybrid_minimal_c1.0_raw,0.15165569076401433,0.14285714285714285
hybrid_minimal_c1.0_raw,0.25003902808919026,0.15384615384615385
hybrid_minimal_c1.0_raw,0.3444332458127563,0.5333333333333333
hybrid_minimal_c1.0_raw,0.4575154935681636,0.5238095238095238
hybrid_minimal_c1.0_raw,0.5424845064318324,0.47619047619047616
hybrid_minimal_c1.0_raw,0.6555667541872402,0.4666666666666667
hybrid_minimal_c1.0_raw,0.7499609719108068,0.8461538461538461
hybrid_minimal_c1.0_raw,0.8483443092359838,0.8571428571428571
hybrid_minimal_c1.0_raw,0.9435863175719372,0.8181818181818182
hybrid_minimal_c1.0_temperature_scaled,0.06339573407586722,1.0
hybrid_minimal_c1.0_temperature_scaled,0.1281985397533383,0.0
hybrid_minimal_c1.0_temperature_scaled,0.24479006597829014,0.16666666666666666
hybrid_minimal_c1.0_temperature_scaled,0.3617194867381975,0.3157894736842105
